region_2,variable,year,value
ABAG/MTC,BIRTHS,2010,21745.0
ABAG/MTC,BIRTHS,2011,87984.0
ABAG/MTC,BIRTHS,2012,86094.0
ABAG/MTC,BIRTHS,2013,88005.0
ABAG/MTC,BIRTHS,2014,87212.0
ABAG/MTC,BIRTHS,2015,88141.0
ABAG/MTC,BIRTHS,2016,87528.0
ABAG/MTC,BIRTHS,2017,85467.0
ABAG/MTC,BIRTHS,2018,82406.0
ABAG/MTC,BIRTHS,2019,81321.0
ABAG/MTC,BIRTHS,2020,80467.0
ABAG/MTC,BIRTHS,2021,75029.0
ABAG/MTC,BIRTHS,2022,77244.0
ABAG/MTC,DEATHS,2010,-10844.0
ABAG/MTC,DEATHS,2011,-45541.0
ABAG/MTC,DEATHS,2012,-45481.0
ABAG/MTC,DEATHS,2013,-46797.0
ABAG/MTC,DEATHS,2014,-45971.0
ABAG/MTC,DEATHS,2015,-47864.0
ABAG/MTC,DEATHS,2016,-48290.0
ABAG/MTC,DEATHS,2017,-49562.0
ABAG/MTC,DEATHS,2018,-49956.0
ABAG/MTC,DEATHS,2019,-51334.0
ABAG/MTC,DEATHS,2020,-58042.0
ABAG/MTC,DEATHS,2021,-59008.0
ABAG/MTC,DEATHS,2022,-53936.0
ABAG/MTC,DOMESTICMIG,2010,-3399.0
ABAG/MTC,DOMESTICMIG,2011,4311.0
ABAG/MTC,DOMESTICMIG,2012,14848.0
ABAG/MTC,DOMESTICMIG,2013,17933.0
ABAG/MTC,DOMESTICMIG,2014,11508.0
ABAG/MTC,DOMESTICMIG,2015,-2201.0
ABAG/MTC,DOMESTICMIG,2016,-30839.0
ABAG/MTC,DOMESTICMIG,2017,-49971.0
ABAG/MTC,DOMESTICMIG,2018,-55400.0
ABAG/MTC,DOMESTICMIG,2019,-66631.0
ABAG/MTC,DOMESTICMIG,2020,-86461.0
ABAG/MTC,DOMESTICMIG,2021,-199998.0
ABAG/MTC,DOMESTICMIG,2022,-130144.0
ABAG/MTC,INTERNATIONALMIG,2010,7121.0
ABAG/MTC,INTERNATIONALMIG,2011,37467.0
ABAG/MTC,INTERNATIONALMIG,2012,37091.0
ABAG/MTC,INTERNATIONALMIG,2013,42796.0
ABAG/MTC,INTERNATIONALMIG,2014,48682.0
ABAG/MTC,INTERNATIONALMIG,2015,56759.0
ABAG/MTC,INTERNATIONALMIG,2016,51337.0
ABAG/MTC,INTERNATIONALMIG,2017,45367.0
ABAG/MTC,INTERNATIONALMIG,2018,33080.0
ABAG/MTC,INTERNATIONALMIG,2019,21177.0
ABAG/MTC,INTERNATIONALMIG,2020,16980.0
ABAG/MTC,INTERNATIONALMIG,2021,17348.0
ABAG/MTC,INTERNATIONALMIG,2022,47534.0
ABAG/MTC,RESIDUAL,2010,-378.0
ABAG/MTC,RESIDUAL,2011,-110.0
ABAG/MTC,RESIDUAL,2012,-484.0
ABAG/MTC,RESIDUAL,2013,-289.0
ABAG/MTC,RESIDUAL,2014,-353.0
ABAG/MTC,RESIDUAL,2015,-375.0
ABAG/MTC,RESIDUAL,2016,-160.0
ABAG/MTC,RESIDUAL,2017,-142.0
ABAG/MTC,RESIDUAL,2018,-137.0
ABAG/MTC,RESIDUAL,2019,-46.0
ABAG/MTC,RESIDUAL,2020,-75.0
ABAG/MTC,RESIDUAL,2021,-9337.0
ABAG/MTC,RESIDUAL,2022,1467.0
Halo Central Valley,BIRTHS,2010,7533.0
Halo Central Valley,BIRTHS,2011,30690.0
Halo Central Valley,BIRTHS,2012,29680.0
Halo Central Valley,BIRTHS,2013,29557.0
Halo Central Valley,BIRTHS,2014,29955.0
Halo Central Valley,BIRTHS,2015,29948.0
Halo Central Valley,BIRTHS,2016,29934.0
Halo Central Valley,BIRTHS,2017,29428.0
Halo Central Valley,BIRTHS,2018,29167.0
Halo Central Valley,BIRTHS,2019,28846.0
Halo Central Valley,BIRTHS,2020,28820.0
Halo Central Valley,BIRTHS,2021,27200.0
Halo Central Valley,BIRTHS,2022,28068.0
Halo Central Valley,DEATHS,2010,-4036.0
Halo Central Valley,DEATHS,2011,-16820.0
Halo Central Valley,DEATHS,2012,-17103.0
Halo Central Valley,DEATHS,2013,-17204.0
Halo Central Valley,DEATHS,2014,-17565.0
Halo Central Valley,DEATHS,2015,-18446.0
Halo Central Valley,DEATHS,2016,-18732.0
Halo Central Valley,DEATHS,2017,-19405.0
Halo Central Valley,DEATHS,2018,-19798.0
Halo Central Valley,DEATHS,2019,-20167.0
Halo Central Valley,DEATHS,2020,-21870.0
Halo Central Valley,DEATHS,2021,-23985.0
Halo Central Valley,DEATHS,2022,-21979.0
Halo Central Valley,DOMESTICMIG,2010,162.0
Halo Central Valley,DOMESTICMIG,2011,101.0
Halo Central Valley,DOMESTICMIG,2012,151.0
Halo Central Valley,DOMESTICMIG,2013,2751.0
Halo Central Valley,DOMESTICMIG,2014,6850.0
Halo Central Valley,DOMESTICMIG,2015,8913.0
Halo Central Valley,DOMESTICMIG,2016,11466.0
Halo Central Valley,DOMESTICMIG,2017,13840.0
Halo Central Valley,DOMESTICMIG,2018,9843.0
Halo Central Valley,DOMESTICMIG,2019,10729.0
Halo Central Valley,DOMESTICMIG,2020,2989.0
Halo Central Valley,DOMESTICMIG,2021,1145.0
Halo Central Valley,DOMESTICMIG,2022,-5707.0
Halo Central Valley,INTERNATIONALMIG,2010,1092.0
Halo Central Valley,INTERNATIONALMIG,2011,5232.0
Halo Central Valley,INTERNATIONALMIG,2012,4879.0
Halo Central Valley,INTERNATIONALMIG,2013,6023.0
Halo Central Valley,INTERNATIONALMIG,2014,6831.0
Halo Central Valley,INTERNATIONALMIG,2015,8212.0
Halo Central Valley,INTERNATIONALMIG,2016,7815.0
Halo Central Valley,INTERNATIONALMIG,2017,6767.0
Halo Central Valley,INTERNATIONALMIG,2018,4554.0
Halo Central Valley,INTERNATIONALMIG,2019,2612.0
Halo Central Valley,INTERNATIONALMIG,2020,2158.0
Halo Central Valley,INTERNATIONALMIG,2021,3361.0
Halo Central Valley,INTERNATIONALMIG,2022,9167.0
Halo Central Valley,RESIDUAL,2010,-98.0
Halo Central Valley,RESIDUAL,2011,-25.0
Halo Central Valley,RESIDUAL,2012,-300.0
Halo Central Valley,RESIDUAL,2013,-276.0
Halo Central Valley,RESIDUAL,2014,-262.0
Halo Central Valley,RESIDUAL,2015,-164.0
Halo Central Valley,RESIDUAL,2016,-56.0
Halo Central Valley,RESIDUAL,2017,-31.0
Halo Central Valley,RESIDUAL,2018,-39.0
Halo Central Valley,RESIDUAL,2019,35.0
Halo Central Valley,RESIDUAL,2020,84.0
Halo Central Valley,RESIDUAL,2021,734.0
Halo Central Valley,RESIDUAL,2022,188.0
Halo North and Mountains,BIRTHS,2010,465.0
Halo North and Mountains,BIRTHS,2011,1751.0
Halo North and Mountains,BIRTHS,2012,1850.0
Halo North and Mountains,BIRTHS,2013,1806.0
Halo North and Mountains,BIRTHS,2014,1825.0
Halo North and Mountains,BIRTHS,2015,1732.0
Halo North and Mountains,BIRTHS,2016,1729.0
Halo North and Mountains,BIRTHS,2017,1811.0
Halo North and Mountains,BIRTHS,2018,1701.0
Halo North and Mountains,BIRTHS,2019,1640.0
Halo North and Mountains,BIRTHS,2020,1622.0
Halo North and Mountains,BIRTHS,2021,1549.0
Halo North and Mountains,BIRTHS,2022,1586.0
Halo North and Mountains,DEATHS,2010,-345.0
Halo North and Mountains,DEATHS,2011,-1637.0
Halo North and Mountains,DEATHS,2012,-1666.0
Halo North and Mountains,DEATHS,2013,-1678.0
Halo North and Mountains,DEATHS,2014,-1673.0
Halo North and Mountains,DEATHS,2015,-1698.0
Halo North and Mountains,DEATHS,2016,-1764.0
Halo North and Mountains,DEATHS,2017,-1770.0
Halo North and Mountains,DEATHS,2018,-1727.0
Halo North and Mountains,DEATHS,2019,-1722.0
Halo North and Mountains,DEATHS,2020,-1896.0
Halo North and Mountains,DEATHS,2021,-2108.0
Halo North and Mountains,DEATHS,2022,-1919.0
Halo North and Mountains,DOMESTICMIG,2010,-114.0
Halo North and Mountains,DOMESTICMIG,2011,-1043.0
Halo North and Mountains,DOMESTICMIG,2012,-442.0
Halo North and Mountains,DOMESTICMIG,2013,-481.0
Halo North and Mountains,DOMESTICMIG,2014,310.0
Halo North and Mountains,DOMESTICMIG,2015,79.0
Halo North and Mountains,DOMESTICMIG,2016,-195.0
Halo North and Mountains,DOMESTICMIG,2017,545.0
Halo North and Mountains,DOMESTICMIG,2018,195.0
Halo North and Mountains,DOMESTICMIG,2019,-388.0
Halo North and Mountains,DOMESTICMIG,2020,-530.0
Halo North and Mountains,DOMESTICMIG,2021,475.0
Halo North and Mountains,DOMESTICMIG,2022,-1397.0
Halo North and Mountains,INTERNATIONALMIG,2010,9.0
Halo North and Mountains,INTERNATIONALMIG,2011,-10.0
Halo North and Mountains,INTERNATIONALMIG,2012,-55.0
Halo North and Mountains,INTERNATIONALMIG,2013,-4.0
Halo North and Mountains,INTERNATIONALMIG,2014,-14.0
Halo North and Mountains,INTERNATIONALMIG,2015,-3.0
Halo North and Mountains,INTERNATIONALMIG,2016,72.0
Halo North and Mountains,INTERNATIONALMIG,2017,11.0
Halo North and Mountains,INTERNATIONALMIG,2018,-41.0
Halo North and Mountains,INTERNATIONALMIG,2019,-71.0
Halo North and Mountains,INTERNATIONALMIG,2020,-47.0
Halo North and Mountains,INTERNATIONALMIG,2021,61.0
Halo North and Mountains,INTERNATIONALMIG,2022,138.0
Halo North and Mountains,RESIDUAL,2010,5.0
Halo North and Mountains,RESIDUAL,2011,0.0
Halo North and Mountains,RESIDUAL,2012,-21.0
Halo North and Mountains,RESIDUAL,2013,-21.0
Halo North and Mountains,RESIDUAL,2014,-26.0
Halo North and Mountains,RESIDUAL,2015,-16.0
Halo North and Mountains,RESIDUAL,2016,-8.0
Halo North and Mountains,RESIDUAL,2017,-6.0
Halo North and Mountains,RESIDUAL,2018,-7.0
Halo North and Mountains,RESIDUAL,2019,-7.0
Halo North and Mountains,RESIDUAL,2020,-4.0
Halo North and Mountains,RESIDUAL,2021,54.0
Halo North and Mountains,RESIDUAL,2022,-21.0
Halo Southern Coast,BIRTHS,2010,2482.0
Halo Southern Coast,BIRTHS,2011,10105.0
Halo Southern Coast,BIRTHS,2012,9974.0
Halo Southern Coast,BIRTHS,2013,9544.0
Halo Southern Coast,BIRTHS,2014,9355.0
Halo Southern Coast,BIRTHS,2015,9437.0
Halo Southern Coast,BIRTHS,2016,9239.0
Halo Southern Coast,BIRTHS,2017,8681.0
Halo Southern Coast,BIRTHS,2018,8372.0
Halo Southern Coast,BIRTHS,2019,8355.0
Halo Southern Coast,BIRTHS,2020,8201.0
Halo Southern Coast,BIRTHS,2021,7598.0
Halo Southern Coast,BIRTHS,2022,7810.0
Halo Southern Coast,DEATHS,2010,-959.0
Halo Southern Coast,DEATHS,2011,-4023.0
Halo Southern Coast,DEATHS,2012,-4050.0
Halo Southern Coast,DEATHS,2013,-4187.0
Halo Southern Coast,DEATHS,2014,-4106.0
Halo Southern Coast,DEATHS,2015,-4207.0
Halo Southern Coast,DEATHS,2016,-4336.0
Halo Southern Coast,DEATHS,2017,-4340.0
Halo Southern Coast,DEATHS,2018,-4394.0
Halo Southern Coast,DEATHS,2019,-4518.0
Halo Southern Coast,DEATHS,2020,-4988.0
Halo Southern Coast,DEATHS,2021,-5350.0
Halo Southern Coast,DEATHS,2022,-4933.0
Halo Southern Coast,DOMESTICMIG,2010,531.0
Halo Southern Coast,DOMESTICMIG,2011,-388.0
Halo Southern Coast,DOMESTICMIG,2012,-795.0
Halo Southern Coast,DOMESTICMIG,2013,-1565.0
Halo Southern Coast,DOMESTICMIG,2014,-2205.0
Halo Southern Coast,DOMESTICMIG,2015,-1655.0
Halo Southern Coast,DOMESTICMIG,2016,-2001.0
Halo Southern Coast,DOMESTICMIG,2017,-4081.0
Halo Southern Coast,DOMESTICMIG,2018,-5404.0
Halo Southern Coast,DOMESTICMIG,2019,-4185.0
Halo Southern Coast,DOMESTICMIG,2020,-8330.0
Halo Southern Coast,DOMESTICMIG,2021,-13193.0
Halo Southern Coast,DOMESTICMIG,2022,-4945.0
Halo Southern Coast,INTERNATIONALMIG,2010,63.0
Halo Southern Coast,INTERNATIONALMIG,2011,96.0
Halo Southern Coast,INTERNATIONALMIG,2012,305.0
Halo Southern Coast,INTERNATIONALMIG,2013,586.0
Halo Southern Coast,INTERNATIONALMIG,2014,828.0
Halo Southern Coast,INTERNATIONALMIG,2015,1266.0
Halo Southern Coast,INTERNATIONALMIG,2016,1368.0
Halo Southern Coast,INTERNATIONALMIG,2017,504.0
Halo Southern Coast,INTERNATIONALMIG,2018,-177.0
Halo Southern Coast,INTERNATIONALMIG,2019,-479.0
Halo Southern Coast,INTERNATIONALMIG,2020,-286.0
Halo Southern Coast,INTERNATIONALMIG,2021,343.0
Halo Southern Coast,INTERNATIONALMIG,2022,1084.0
Halo Southern Coast,RESIDUAL,2010,12.0
Halo Southern Coast,RESIDUAL,2011,-16.0
Halo Southern Coast,RESIDUAL,2012,-127.0
Halo Southern Coast,RESIDUAL,2013,8.0
Halo Southern Coast,RESIDUAL,2014,-23.0
Halo Southern Coast,RESIDUAL,2015,-16.0
Halo Southern Coast,RESIDUAL,2016,-31.0
Halo Southern Coast,RESIDUAL,2017,-8.0
Halo Southern Coast,RESIDUAL,2018,7.0
Halo Southern Coast,RESIDUAL,2019,5.0
Halo Southern Coast,RESIDUAL,2020,-16.0
Halo Southern Coast,RESIDUAL,2021,-506.0
Halo Southern Coast,RESIDUAL,2022,468.0
Halo Southern Farm,BIRTHS,2010,5728.0
Halo Southern Farm,BIRTHS,2011,23403.0
Halo Southern Farm,BIRTHS,2012,22795.0
Halo Southern Farm,BIRTHS,2013,22484.0
Halo Southern Farm,BIRTHS,2014,22354.0
Halo Southern Farm,BIRTHS,2015,22474.0
Halo Southern Farm,BIRTHS,2016,22768.0
Halo Southern Farm,BIRTHS,2017,22958.0
Halo Southern Farm,BIRTHS,2018,21871.0
Halo Southern Farm,BIRTHS,2019,22073.0
Halo Southern Farm,BIRTHS,2020,21955.0
Halo Southern Farm,BIRTHS,2021,21100.0
Halo Southern Farm,BIRTHS,2022,21788.0
Halo Southern Farm,DEATHS,2010,-2473.0
Halo Southern Farm,DEATHS,2011,-10151.0
Halo Southern Farm,DEATHS,2012,-10633.0
Halo Southern Farm,DEATHS,2013,-10779.0
Halo Southern Farm,DEATHS,2014,-10966.0
Halo Southern Farm,DEATHS,2015,-11466.0
Halo Southern Farm,DEATHS,2016,-11771.0
Halo Southern Farm,DEATHS,2017,-12187.0
Halo Southern Farm,DEATHS,2018,-12148.0
Halo Southern Farm,DEATHS,2019,-12629.0
Halo Southern Farm,DEATHS,2020,-13320.0
Halo Southern Farm,DEATHS,2021,-16148.0
Halo Southern Farm,DEATHS,2022,-14998.0
Halo Southern Farm,DOMESTICMIG,2010,305.0
Halo Southern Farm,DOMESTICMIG,2011,-1858.0
Halo Southern Farm,DOMESTICMIG,2012,-2582.0
Halo Southern Farm,DOMESTICMIG,2013,-6155.0
Halo Southern Farm,DOMESTICMIG,2014,4033.0
Halo Southern Farm,DOMESTICMIG,2015,4435.0
Halo Southern Farm,DOMESTICMIG,2016,4942.0
Halo Southern Farm,DOMESTICMIG,2017,7884.0
Halo Southern Farm,DOMESTICMIG,2018,6406.0
Halo Southern Farm,DOMESTICMIG,2019,6387.0
Halo Southern Farm,DOMESTICMIG,2020,1430.0
Halo Southern Farm,DOMESTICMIG,2021,5209.0
Halo Southern Farm,DOMESTICMIG,2022,248.0
Halo Southern Farm,INTERNATIONALMIG,2010,208.0
Halo Southern Farm,INTERNATIONALMIG,2011,1261.0
Halo Southern Farm,INTERNATIONALMIG,2012,701.0
Halo Southern Farm,INTERNATIONALMIG,2013,1525.0
Halo Southern Farm,INTERNATIONALMIG,2014,1687.0
Halo Southern Farm,INTERNATIONALMIG,2015,2717.0
Halo Southern Farm,INTERNATIONALMIG,2016,3122.0
Halo Southern Farm,INTERNATIONALMIG,2017,1935.0
Halo Southern Farm,INTERNATIONALMIG,2018,687.0
Halo Southern Farm,INTERNATIONALMIG,2019,-203.0
Halo Southern Farm,INTERNATIONALMIG,2020,-42.0
Halo Southern Farm,INTERNATIONALMIG,2021,1103.0
Halo Southern Farm,INTERNATIONALMIG,2022,3250.0
Halo Southern Farm,RESIDUAL,2010,-74.0
Halo Southern Farm,RESIDUAL,2011,-37.0
Halo Southern Farm,RESIDUAL,2012,-144.0
Halo Southern Farm,RESIDUAL,2013,17.0
Halo Southern Farm,RESIDUAL,2014,-218.0
Halo Southern Farm,RESIDUAL,2015,-120.0
Halo Southern Farm,RESIDUAL,2016,-55.0
Halo Southern Farm,RESIDUAL,2017,-71.0
Halo Southern Farm,RESIDUAL,2018,-30.0
Halo Southern Farm,RESIDUAL,2019,28.0
Halo Southern Farm,RESIDUAL,2020,83.0
Halo Southern Farm,RESIDUAL,2021,750.0
Halo Southern Farm,RESIDUAL,2022,-315.0
