runid,scenario_urbansim,county,county_name,year,shr_occ_management,shr_occ_manual,shr_occ_professional,shr_occ_retail,shr_occ_services,shr_occ_military
R6H2C_COVID_basic,21: Blueprint Basic,1,San Francisco,2010,0.24784,0.21541,0.24183,0.15458,0.13799,0.00235
R6H2C_COVID_basic,21: Blueprint Basic,1,San Francisco,2015,0.26019,0.21459,0.23625,0.15424,0.13295,0.00178
R6H2C_COVID_basic,21: Blueprint Basic,1,San Francisco,2020,0.2752,0.21432,0.24123,0.13832,0.12904,0.0019
R6H2C_COVID_basic,21: Blueprint Basic,1,San Francisco,2025,0.27344,0.2173,0.23286,0.15179,0.12292,0.00168
R6H2C_COVID_basic,21: Blueprint Basic,1,San Francisco,2030,0.27795,0.21586,0.231,0.15186,0.12183,0.0015
R6H2C_COVID_basic,21: Blueprint Basic,1,San Francisco,2035,0.28148,0.21461,0.23041,0.15194,0.12012,0.00144
R6H2C_COVID_basic,21: Blueprint Basic,1,San Francisco,2040,0.28519,0.21359,0.22911,0.15229,0.11846,0.00136
R6H2C_COVID_basic,21: Blueprint Basic,1,San Francisco,2045,0.28989,0.21259,0.22783,0.15136,0.11704,0.0013
R6H2C_COVID_basic,21: Blueprint Basic,1,San Francisco,2050,0.29441,0.21192,0.22639,0.15057,0.11547,0.00123
R6H2C_COVID_basic,21: Blueprint Basic,2,San Mateo,2010,0.23706,0.25748,0.2219,0.16175,0.11883,0.00298
R6H2C_COVID_basic,21: Blueprint Basic,2,San Mateo,2015,0.25515,0.25836,0.22011,0.15258,0.11143,0.00237
R6H2C_COVID_basic,21: Blueprint Basic,2,San Mateo,2020,0.26881,0.25282,0.22631,0.13815,0.11126,0.00265
R6H2C_COVID_basic,21: Blueprint Basic,2,San Mateo,2025,0.26745,0.25781,0.21967,0.1476,0.10515,0.00232
R6H2C_COVID_basic,21: Blueprint Basic,2,San Mateo,2030,0.27372,0.25347,0.21846,0.1477,0.1046,0.00206
R6H2C_COVID_basic,21: Blueprint Basic,2,San Mateo,2035,0.27846,0.25101,0.21749,0.14784,0.10325,0.00195
R6H2C_COVID_basic,21: Blueprint Basic,2,San Mateo,2040,0.28255,0.24907,0.21612,0.14866,0.10179,0.00181
R6H2C_COVID_basic,21: Blueprint Basic,2,San Mateo,2045,0.28709,0.24716,0.21528,0.14827,0.10049,0.00171
R6H2C_COVID_basic,21: Blueprint Basic,2,San Mateo,2050,0.29171,0.24535,0.21446,0.14772,0.09915,0.0016
R6H2C_COVID_basic,21: Blueprint Basic,3,Santa Clara,2010,0.25066,0.2419,0.24178,0.14672,0.11599,0.00294
R6H2C_COVID_basic,21: Blueprint Basic,3,Santa Clara,2015,0.26012,0.24023,0.2378,0.14512,0.11421,0.00253
R6H2C_COVID_basic,21: Blueprint Basic,3,Santa Clara,2020,0.27263,0.23643,0.24337,0.13166,0.11331,0.00259
R6H2C_COVID_basic,21: Blueprint Basic,3,Santa Clara,2025,0.27387,0.23261,0.23759,0.14349,0.11004,0.00239
R6H2C_COVID_basic,21: Blueprint Basic,3,Santa Clara,2030,0.27974,0.22995,0.2346,0.14422,0.10939,0.00211
R6H2C_COVID_basic,21: Blueprint Basic,3,Santa Clara,2035,0.28479,0.22745,0.23311,0.1447,0.10796,0.00199
R6H2C_COVID_basic,21: Blueprint Basic,3,Santa Clara,2040,0.28915,0.22555,0.23151,0.14572,0.10623,0.00185
R6H2C_COVID_basic,21: Blueprint Basic,3,Santa Clara,2045,0.29434,0.2234,0.23044,0.14535,0.10474,0.00173
R6H2C_COVID_basic,21: Blueprint Basic,3,Santa Clara,2050,0.29985,0.22123,0.22936,0.14472,0.10322,0.00162
R6H2C_COVID_basic,21: Blueprint Basic,4,Alameda,2010,0.21893,0.25169,0.24937,0.14754,0.12801,0.00445
R6H2C_COVID_basic,21: Blueprint Basic,4,Alameda,2015,0.21846,0.26431,0.24016,0.14868,0.12457,0.00382
R6H2C_COVID_basic,21: Blueprint Basic,4,Alameda,2020,0.22832,0.26668,0.24474,0.1357,0.12052,0.00403
R6H2C_COVID_basic,21: Blueprint Basic,4,Alameda,2025,0.22966,0.26507,0.23754,0.14791,0.11621,0.00361
R6H2C_COVID_basic,21: Blueprint Basic,4,Alameda,2030,0.23055,0.26382,0.23704,0.14887,0.11646,0.00325
R6H2C_COVID_basic,21: Blueprint Basic,4,Alameda,2035,0.23256,0.26249,0.23706,0.14913,0.11562,0.00313
R6H2C_COVID_basic,21: Blueprint Basic,4,Alameda,2040,0.23438,0.2617,0.2366,0.14977,0.1146,0.00295
R6H2C_COVID_basic,21: Blueprint Basic,4,Alameda,2045,0.23622,0.26152,0.23644,0.14925,0.11374,0.00282
R6H2C_COVID_basic,21: Blueprint Basic,4,Alameda,2050,0.23801,0.26154,0.23625,0.14868,0.11283,0.00269
R6H2C_COVID_basic,21: Blueprint Basic,5,Contra Costa,2010,0.23299,0.24334,0.2334,0.16554,0.12107,0.00365
R6H2C_COVID_basic,21: Blueprint Basic,5,Contra Costa,2015,0.23226,0.25608,0.22644,0.16406,0.11787,0.00329
R6H2C_COVID_basic,21: Blueprint Basic,5,Contra Costa,2020,0.23707,0.25786,0.23508,0.1489,0.11759,0.00351
R6H2C_COVID_basic,21: Blueprint Basic,5,Contra Costa,2025,0.23802,0.2611,0.22493,0.1601,0.1128,0.00306
R6H2C_COVID_basic,21: Blueprint Basic,5,Contra Costa,2030,0.23616,0.26137,0.22496,0.1616,0.11313,0.00279
R6H2C_COVID_basic,21: Blueprint Basic,5,Contra Costa,2035,0.23604,0.26087,0.22504,0.16239,0.11294,0.00272
R6H2C_COVID_basic,21: Blueprint Basic,5,Contra Costa,2040,0.237,0.26073,0.22403,0.16335,0.11231,0.00258
R6H2C_COVID_basic,21: Blueprint Basic,5,Contra Costa,2045,0.23833,0.26112,0.2233,0.1631,0.11164,0.0025
R6H2C_COVID_basic,21: Blueprint Basic,5,Contra Costa,2050,0.23951,0.26164,0.22277,0.1627,0.11098,0.00241
R6H2C_COVID_basic,21: Blueprint Basic,6,Solano,2010,0.18418,0.24897,0.24387,0.16766,0.11242,0.0429
R6H2C_COVID_basic,21: Blueprint Basic,6,Solano,2015,0.1846,0.26076,0.23943,0.16822,0.11079,0.03621
R6H2C_COVID_basic,21: Blueprint Basic,6,Solano,2020,0.19039,0.267,0.24511,0.14993,0.10879,0.03879
R6H2C_COVID_basic,21: Blueprint Basic,6,Solano,2025,0.19283,0.26801,0.23513,0.16358,0.10595,0.0345
R6H2C_COVID_basic,21: Blueprint Basic,6,Solano,2030,0.18888,0.2696,0.23566,0.16689,0.10715,0.03182
R6H2C_COVID_basic,21: Blueprint Basic,6,Solano,2035,0.1876,0.26951,0.23608,0.16821,0.10745,0.03115
R6H2C_COVID_basic,21: Blueprint Basic,6,Solano,2040,0.18691,0.26978,0.23587,0.16994,0.10751,0.03
R6H2C_COVID_basic,21: Blueprint Basic,6,Solano,2045,0.18639,0.27094,0.23563,0.17023,0.10743,0.02938
R6H2C_COVID_basic,21: Blueprint Basic,6,Solano,2050,0.18601,0.27232,0.23529,0.17034,0.1073,0.02874
R6H2C_COVID_basic,21: Blueprint Basic,7,Napa,2010,0.18804,0.28463,0.25024,0.17369,0.10094,0.00247
R6H2C_COVID_basic,21: Blueprint Basic,7,Napa,2015,0.18927,0.29375,0.23971,0.17639,0.09887,0.00201
R6H2C_COVID_basic,21: Blueprint Basic,7,Napa,2020,0.1899,0.29817,0.25043,0.16097,0.09832,0.00221
R6H2C_COVID_basic,21: Blueprint Basic,7,Napa,2025,0.19255,0.29932,0.23858,0.17416,0.0935,0.0019
R6H2C_COVID_basic,21: Blueprint Basic,7,Napa,2030,0.19112,0.29899,0.23924,0.17542,0.09347,0.00175
R6H2C_COVID_basic,21: Blueprint Basic,7,Napa,2035,0.19158,0.29865,0.23927,0.1759,0.09288,0.00172
R6H2C_COVID_basic,21: Blueprint Basic,7,Napa,2040,0.19214,0.29809,0.23912,0.17668,0.0923,0.00167
R6H2C_COVID_basic,21: Blueprint Basic,7,Napa,2045,0.19244,0.29876,0.23933,0.17626,0.09155,0.00165
R6H2C_COVID_basic,21: Blueprint Basic,7,Napa,2050,0.19278,0.29975,0.23954,0.17552,0.09079,0.00163
R6H2C_COVID_basic,21: Blueprint Basic,8,Sonoma,2010,0.21233,0.25807,0.23815,0.1694,0.1165,0.00555
R6H2C_COVID_basic,21: Blueprint Basic,8,Sonoma,2015,0.2081,0.26918,0.23266,0.1724,0.11293,0.00472
R6H2C_COVID_basic,21: Blueprint Basic,8,Sonoma,2020,0.2112,0.27342,0.2406,0.15804,0.11121,0.00554
R6H2C_COVID_basic,21: Blueprint Basic,8,Sonoma,2025,0.21411,0.27385,0.22968,0.17027,0.10727,0.00481
R6H2C_COVID_basic,21: Blueprint Basic,8,Sonoma,2030,0.21286,0.274,0.22974,0.17132,0.1077,0.00438
R6H2C_COVID_basic,21: Blueprint Basic,8,Sonoma,2035,0.21331,0.27376,0.22963,0.1718,0.10724,0.00426
R6H2C_COVID_basic,21: Blueprint Basic,8,Sonoma,2040,0.21365,0.27344,0.22939,0.17273,0.10668,0.0041
R6H2C_COVID_basic,21: Blueprint Basic,8,Sonoma,2045,0.21431,0.27398,0.22937,0.17221,0.1061,0.00402
R6H2C_COVID_basic,21: Blueprint Basic,8,Sonoma,2050,0.21525,0.27473,0.22924,0.17136,0.10547,0.00395
R6H2C_COVID_basic,21: Blueprint Basic,9,Marin,2010,0.24132,0.23478,0.2185,0.16529,0.13655,0.00356
R6H2C_COVID_basic,21: Blueprint Basic,9,Marin,2015,0.23849,0.2449,0.2148,0.16907,0.12991,0.00283
R6H2C_COVID_basic,21: Blueprint Basic,9,Marin,2020,0.2472,0.24921,0.22176,0.15318,0.12573,0.00292
R6H2C_COVID_basic,21: Blueprint Basic,9,Marin,2025,0.24841,0.25081,0.21264,0.16569,0.11988,0.00257
R6H2C_COVID_basic,21: Blueprint Basic,9,Marin,2030,0.25146,0.24953,0.21262,0.16497,0.11911,0.00232
R6H2C_COVID_basic,21: Blueprint Basic,9,Marin,2035,0.25467,0.24897,0.21164,0.1651,0.11737,0.00224
R6H2C_COVID_basic,21: Blueprint Basic,9,Marin,2040,0.25735,0.24851,0.21042,0.16586,0.11573,0.00214
R6H2C_COVID_basic,21: Blueprint Basic,9,Marin,2045,0.26045,0.24798,0.20995,0.16504,0.1145,0.00209
R6H2C_COVID_basic,21: Blueprint Basic,9,Marin,2050,0.26395,0.2475,0.20952,0.1637,0.1133,0.00203
